timestamp,time,service,service_id,cpu_usage_millicores,memory_usage_bytes,pod_replicas_count,allocated_cpu_quota_millicores,error_rate_ratio,request_per_second,latency_p50_seconds,latency_p95_seconds,latency_p99_seconds,cpu_usage_millicores_norm,memory_usage_bytes_norm,pod_replicas_count_norm,allocated_cpu_quota_millicores_norm,error_rate_ratio_norm,request_per_second_norm,latency_p50_seconds_norm,latency_p95_seconds_norm,latency_p99_seconds_norm,target_cpu_usage_millicores,target_request_per_second,target_error_rate_ratio,target_latency_p99_seconds,target_cpu_usage_millicores_norm,target_request_per_second_norm,target_error_rate_ratio_norm,target_latency_p99_seconds_norm
1779853829,2026-05-27 03:50:29+00:00,adservice,0,5.417755264611724,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003944689765486209,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,5.279934435555968,0.0,0.0,0.0,0.0038443418561965063,0.0,0.0,0.0
1779853844,2026-05-27 03:50:44+00:00,adservice,0,5.279934435555968,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0038443418561965063,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,5.285253205627591,0.0,0.0,0.0,0.003848214474438152,0.0,0.0,0.0
1779853859,2026-05-27 03:50:59+00:00,adservice,0,5.285253205627591,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003848214474438152,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.923113210321718,0.0,0.0,0.0,0.003584538862790035,0.0,0.0,0.0
1779853874,2026-05-27 03:51:14+00:00,adservice,0,4.923113210321718,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003584538862790035,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.804805831188184,0.0,0.0,0.0,0.0034983987761940424,0.0,0.0,0.0
1779853889,2026-05-27 03:51:29+00:00,adservice,0,4.804805831188184,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0034983987761940424,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,5.042041292503253,0.0,0.0,0.0,0.003671130885813804,0.0,0.0,0.0
1779853904,2026-05-27 03:51:44+00:00,adservice,0,5.042041292503253,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003671130885813804,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,5.429365045771054,0.0,0.0,0.0,0.003953142894629544,0.0,0.0,0.0
1779853919,2026-05-27 03:51:59+00:00,adservice,0,5.429365045771054,140951552.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003953142894629544,0.44289656308560366,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,5.002831211844335,0.0,0.0,0.0,0.0036425818657262,0.0,0.0,0.0
1779853934,2026-05-27 03:52:14+00:00,adservice,0,5.002831211844335,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0036425818657262,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.963595918538014,0.0,0.0,0.0,0.003614014488206908,0.0,0.0,0.0
1779853949,2026-05-27 03:52:29+00:00,adservice,0,4.963595918538014,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003614014488206908,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.694838286565769,0.0,0.0,0.0,0.003418330957213523,0.0,0.0,0.0
1779853964,2026-05-27 03:52:44+00:00,adservice,0,4.694838286565769,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003418330957213523,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.399085271646938,0.0,0.0,0.0,0.003202991977492073,0.0,0.0,0.0
1779853979,2026-05-27 03:52:59+00:00,adservice,0,4.399085271646938,140947456.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003202991977492073,0.442883692675192,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.188999453070853,0.0,0.0,0.0,0.003050027633786107,0.0,0.0,0.0
