timestamp,src_service,dst_service,network_latency_seconds,payload_size_bytes,edge_request_rate_rps,edge_error_rate_ratio,time,src_id,dst_id,network_latency_seconds_norm,payload_size_bytes_norm,edge_request_rate_rps_norm,edge_error_rate_ratio_norm
1779842943,checkoutservice,cartservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,1,0.0,0.0,0.0,0.0
1779842943,checkoutservice,currencyservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,3,0.0,0.0,0.0,0.0
1779842943,checkoutservice,emailservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,4,0.0,0.0,0.0,0.0
1779842943,checkoutservice,paymentservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,6,0.0,0.0,0.0,0.0
1779842943,checkoutservice,productcatalogservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,7,0.0,0.0,0.0,0.0
1779842943,checkoutservice,shippingservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,2,9,0.0,0.0,0.0,0.0
1779842943,frontend,adservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,0,0.0,0.0,0.0,0.0
1779842943,frontend,cartservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,1,0.0,0.0,0.0,0.0
1779842943,frontend,checkoutservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,2,0.0,0.0,0.0,0.0
1779842943,frontend,currencyservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,3,0.0,0.0,0.0,0.0
1779842943,frontend,productcatalogservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,7,0.0,0.0,0.0,0.0
1779842943,frontend,recommendationservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,8,0.0,0.0,0.0,0.0
1779842943,frontend,shippingservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,5,9,0.0,0.0,0.0,0.0
1779842943,recommendationservice,productcatalogservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:03+00:00,8,7,0.0,0.0,0.0,0.0
1779842958,checkoutservice,cartservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,1,0.0,0.0,0.0,0.0
1779842958,checkoutservice,currencyservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,3,0.0,0.0,0.0,0.0
1779842958,checkoutservice,emailservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,4,0.0,0.0,0.0,0.0
1779842958,checkoutservice,paymentservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,6,0.0,0.0,0.0,0.0
1779842958,checkoutservice,productcatalogservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,7,0.0,0.0,0.0,0.0
1779842958,checkoutservice,shippingservice,0.0,0.0,0.0,0.0,2026-05-27 00:49:18+00:00,2,9,0.0,0.0,0.0,0.0
