timestamp,load_level,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782043155,40,currencyservice,1,2,1,1,100.64015372438641,126.26666666666665,0,0.00665133333333335,160.0706692141871,134.2160333333333,0,0.009181203249963807
1782043291,40,adservice,1,1,0,0,23.72619180632212,17.02222222222222,0,0.008518749999999983,22.35180558817701,16.777777777777775,0,0.009256249999999987
1782043426,40,adservice,1,2,1,1,24.789594047668174,18.666666666666664,0,0.008097058823529398,75.64574273806076,17.53333333333333,0,0.09007463696678596
1782043562,40,frontend,2,2,0,0,213.10294556410963,14.488888888888887,0.0,0.21709374999999956,197.23198525814115,14.644444444444444,0.0,0.17303846153846206
1782043698,40,currencyservice,2,3,1,1,126.20502488727276,127.75555555555555,0,0.008111616161616155,171.27702295059132,129.86548518518518,0,0.009401442065625683
1782043833,40,checkoutservice,1,2,1,1,12.876292483420702,1.4444444444444442,0,0.08916666666666663,20.292102530467464,1.5999999999999996,0,0.2122076824454267
1782043969,40,adservice,2,3,1,1,33.71779164890537,16.266666666666666,0,0.011087499999999934,31.08388737327325,16.444444444444443,0,0.009891666666666661
1782044105,40,adservice,3,2,-1,-1,42.91159522739039,16.22222222222222,0,0.022796874999999956,33.38295558904764,16.977777777777774,0,0.009568292682926827
1782044240,40,cartservice,1,2,1,1,36.812897516837445,23.53333333333333,0,0.00954236111111111,33.7017470001049,22.51111111111111,0,0.009593333333333344
1782044376,40,frontend,2,1,-1,-1,210.1158664965933,14.288888888888888,0.0,0.09912992125984252,200.52980938992877,14.42222222222222,0.0,0.09965695067264574
1782044511,40,cartservice,2,1,-1,-1,36.95776846540695,24.222222222222218,0,0.009456097560975603,32.722318599835184,22.777777777777775,0,0.009466666666666667
1782044647,40,adservice,2,3,1,1,33.76657642947857,16.95573037814026,0,0.009813331239431712,37.0959849829972,16.95517631315151,0,0.015874938519429335
1782044783,40,checkoutservice,2,3,1,1,14.608360403384244,1.2444444444444442,0,0.08549999999999995,18.84374369837908,1.7111111111111108,0,0.06100000000000005
1782044919,40,adservice,3,4,1,1,28.28641615279498,15.266666666666664,0,0.00960208333333334,31.537169362701956,16.84444444444444,0,0.01390000000000002
1782045054,40,shippingservice,1,2,1,1,8.759516775968722,6.3999999999999995,0,0.007040000000000006,9.820413797218912,5.644444444444444,0,0.004991803278688525
1782045190,40,paymentservice,1,1,0,0,5.03855370550609,1.4888888888888887,0,0.009349999999999997,6.263994629240858,1.5333333333333332,0,0.013900000000000044
1782045325,40,frontend,1,2,1,1,171.27850288796253,14.377777777777776,0.0,0.0992723404255319,207.16189886975698,14.644444444444442,0.0,0.1398333333333333
1782045461,40,cartservice,1,2,1,1,35.737187635276236,22.511081483456657,0,0.00975411812407506,32.25912573897849,22.422222222222224,0,0.009784027777777773
1782045597,40,currencyservice,3,3,0,0,145.85132348379165,132.06666666666666,0,0.00908488888888886,173.3117084886975,136.5545728831805,0,0.008913662497082036
1782045732,40,checkoutservice,3,2,-1,-1,15.401229900042212,1.4444637049877398,0,0.04970909049584523,13.395983369566327,1.1777777777777776,0,0.04975
1782045868,40,checkoutservice,2,2,0,0,15.60904873121738,1.4444444444444442,0,0.04969545454545454,19.388420936866776,1.7999772849601745,0,0.07950025554419793
1782046003,40,recommendationservice,1,2,1,1,21.871279553654784,11.88888888888889,0,0.01883846153846159,28.712367237241786,12.399999999999999,0,0.021071428571428588
1782046139,40,paymentservice,1,2,1,1,6.174822123878946,1.4444444444444442,0,0.008300000000000005,4.581849313674264,1.1555555555555554,0,0.009116666666666655
1782046275,40,adservice,4,5,1,1,23.762969485076685,16.066666666666663,0,0.008672500000000017,25.8527871643234,18.066666666666663,0,0.009356060606060604
1782046411,40,adservice,5,6,1,1,26.50935603270367,16.999999999999996,0,0.009873333333333328,26.13273262543566,16.71111111111111,0,0.00858076923076922
1782046546,40,paymentservice,2,2,0,0,5.544680918701023,2.1111111111111107,0,0.008812499999999985,4.029832937238431,1.622222222222222,0,0.008075000000000006
1782046682,40,recommendationservice,2,1,-1,-1,24.784986215215866,11.155555555555555,0,0.021131578947368453,25.549423719986628,10.555555555555554,0,0.021721428571428576
1782046817,40,frontend,2,3,1,1,179.25157536894994,14.488888888888887,0.0,0.09955978260869562,177.79998808413367,14.62222222222222,0.0,0.09937439613526569
1782046953,40,shippingservice,2,2,0,0,11.824787807271255,4.866666666666666,0,0.009769999999999971,10.33047742793224,5.71111111111111,0,0.008814285714285714
1782047089,40,paymentservice,2,1,-1,-1,5.550090676655568,1.7777777777777775,0,0.020749999999999987,4.082670563288311,1.822222222222222,0,0.008937499999999998
1782047224,40,productcatalogservice,1,2,1,1,54.6357372866608,78.53333333333332,0,0.004963585237258348,52.72585881614206,79.86666666666666,0,0.0049736817472698916
1782047360,40,adservice,6,7,1,1,25.633051371963383,16.066666666666663,0,0.009257142857142858,26.11279409842916,16.31111111111111,0,0.008639473684210532
1782047496,40,adservice,7,7,0,0,23.822065593044172,16.799999999999997,0,0.008783333333333313,27.545473610556247,17.04444444444444,0,0.008894117647058825
1782047631,40,shippingservice,2,1,-1,-1,10.668506232225855,5.555555555555555,0,0.005933333333333323,7.752321557700763,5.3999999999999995,0,0.004974736842105263
1782047767,40,currencyservice,3,2,-1,-1,158.55294934562704,126.97777777777776,0,0.009092613636363642,153.26053000504822,130.2,0,0.00944598930481283
1782047902,40,shippingservice,1,2,1,1,8.675448157810948,6.088888888888889,0,0.007737500000000007,9.178026876879878,6.999999999999999,0,0.004971972789115647
1782048038,40,paymentservice,1,2,1,1,6.472784333569428,1.7555555555555553,0,0.009493749999999999,6.57579359383106,1.5999999999999999,0,0.0082
1782048174,40,cartservice,2,1,-1,-1,28.337261253057925,23.333333333333332,0,0.009578461538461532,37.23612549753275,23.488888888888887,0,0.009231451612903221
1782048309,40,recommendationservice,1,2,1,1,25.387561405162124,10.444444444444443,0,0.0212894736842105,24.53613780607267,10.999999999999998,0,0.020933333333333342
1782048445,40,productcatalogservice,2,3,1,1,61.87230746473564,77.84444444444443,0,0.00499570054945055,76.23834001258402,88.22222222222221,0,0.006826666666666625
1782048625,80,emailservice,1,2,1,1,7.81994257955227,2.4887313965228253,0,0.009557669674248008,9.537843074623481,3.622222222222222,0,0.009304166666666664
1782048760,80,adservice,7,7,0,0,45.646706770711376,34.199999999999996,0,0.009532386363636378,45.41646585867892,33.95555555555555,0,0.009837671232876691
1782048896,80,adservice,7,6,-1,-1,45.093545023361635,34.133333333333326,0,0.009075324675324662,43.105555093928345,33.17802470233244,0,0.008772229130513351
1782049031,80,cartservice,1,2,1,1,68.93120438920671,47.48682634667958,0,0.016312855502690418,64.38729699586793,46.577777777777776,0,0.009802184466019414
1782049167,80,emailservice,2,3,1,1,6.861065519370624,3.0445214883298264,0,0.00910627743146994,7.719341641296597,3.2888888888888888,0,0.017649999999999985
1782049303,80,currencyservice,2,2,0,0,257.5850627829669,251.79999999999995,0,0.009430799220272902,267.117509170038,262.18321294958696,0,0.009467769809046506
1782049438,80,productcatalogservice,3,4,1,1,118.85309993750037,163.26666666666665,0,0.008479518072289126,124.72613457532795,165.28888888888886,0,0.008043430656934289
