timestamp,phase,error_injected,load_level,group,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782229224,latency_core,0,220,core,recommendationservice,1,2,1,1,111.63241521101332,56.1,0,0.02493866666666667,94.62355767051841,56.80196470640529,0,0.02470797667021001
1782229330,latency_core,0,220,core,checkoutservice,1,2,1,1,47.81314707494677,6.766666666666667,0,0.09887096774193549,56.97782507253209,6.833333333333333,0,0.09863291139240506
1782229436,latency_core,0,220,core,cartservice,1,2,1,1,109.06654530856999,121.06708670867087,0,0.023565848653368932,137.36445791343453,120.00219235344473,0,0.08097140349850245
1782229542,latency_core,0,220,core,paymentservice,1,2,1,1,14.169916038673144,9.200137786963575,0,0.011700391119802653,16.594187183483086,7.8,0,0.019499999999999986
1782229647,latency_core,0,220,core,checkoutservice,2,2,0,0,54.67467612504913,7.867063373003967,0,0.09821326046801651,61.182921547799126,8.333333333333332,0,0.21235000000000043
1782229753,latency_core,0,220,core,cartservice,2,2,0,0,131.47296666558026,115.6,0,0.02446452830188679,130.371551137023,120.80008803968771,0,0.023832986261369267
1782229859,latency_core,0,220,core,checkoutservice,2,1,-1,-1,69.96036234893386,7.799706769772564,0,0.16787222520834696,44.4625426798274,6.266473346221363,0,0.11424977500749836
1782229965,latency_core,0,220,core,cartservice,2,3,1,1,124.87632211869654,113.09895569479625,0,0.024228650855648293,173.863104594517,118.56666666666666,0,0.06155148120145752
1782230071,latency_core,0,220,core,checkoutservice,1,2,1,1,48.49508266999206,7.666666666666667,0,0.09940366972477065,64.21040895842762,7.800435671734684,0,0.09872582023631983
1782230176,latency_core,0,220,core,recommendationservice,2,2,0,0,103.74461511202152,54.93333333333333,0,0.027234374999999908,94.04043472536709,53.06666666666666,0,0.02471858864027539
1782230282,latency_core,0,220,core,frontend,1,1,0,0,571.3991254085456,75.63585452848427,0.0,0.9492376681614351,566.9795454051796,75.36666666666666,0.0,0.6120689655172422
1782230388,latency_core,0,220,core,recommendationservice,2,2,0,0,103.26441643568613,55.8,0,0.03726515151515155,98.74425682864907,55.35439952041565,0,0.024630511316362055
1782230493,latency_core,0,220,core,productcatalogservice,1,1,0,0,166.925751556618,423.2,0,0.00985179894179894,178.41464643846086,409.6,0,0.009756494845360819
1782230599,latency_core,0,220,core,recommendationservice,2,2,0,0,101.09985595539578,54.79753798482198,0,0.02474857521971257,111.3331490007402,55.36899427958112,0,0.029337265350534266
